,Review Number,Review,Opinion,review_clean,Review_Length,Clean_Feedback,Feedbacks_without_stopwords,Feedback_without_stopwords_Length
3915,268641:11,Problem #2 when I went to turn on the AC I noticed that there where ants crawling on top of the unit.,0.0,problem when went to turn on the ac noticed that there where ants crawling on top of the unit,93,problem when went to turn on the ac noticed that there where ants crawling on top of the unit,problem went turn ac noticed ants crawling top unit,9
3916,268641:11,Problem #3 At about 9:45am housekeeper enter my room while I was in bed.,0.0,problem at about housekeeper enter my room while was in bed,59,problem at about housekeeper enter my room while was in bed,problem housekeeper enter room bed,5
3917,268641:11,When she noticed I was there she ran out of the room.,0.0,when she noticed was there she ran out of the room,50,when she noticed was there she ran out of the room,noticed ran room,3
3918,268641:11,I recieved a knock at my door around 11:00am by another housekeeping to clean the room.,0.0,recieved knock at my door around by another housekeeping to clean the room,74,recieved knock at my door around by another housekeeping to clean the room,recieved knock door around another housekeeping clean room,8
3919,268641:11,"I then asked the housekeeper if she could give me 5 minutes, because I was on my way out and she said yes.",0.0,then asked the housekeeper if she could give me minutes because was on my way out and she said yes,98,then asked the housekeeper if she could give me minutes because was on my way out and she said yes,asked housekeeper could give minutes way said yes,8
3920,268641:11,"When I exited the room, she appeared to be entering the room to clean, but when I returned at 2:30pm the room was still in the same condition which made me angry because I had returned to the room to rest.",0.0,when exited the room she appeared to be entering the room to clean but when returned at the room was still in the same condition which made me angry because had returned to the room to rest,189,when exited the room she appeared to be entering the room to clean but when returned at the room was still in the same condition which made me angry because had returned to the room to rest,exited room appeared entering room clean returned room still condition made angry returned room rest,15
3921,268641:11,"I immediately came out and approached another housekeeper, who informed that she was sending someone right away.",0.0,immediately came out and approached another housekeeper who informed that she was sending someone right away,108,immediately came out and approached another housekeeper who informed that she was sending someone right away,immediately came approached another housekeeper informed sending someone right away,10
3922,268641:11,"I waited for another 45 minutes, still no one.",0.0,waited for another minutes still no one,39,waited for another minutes still no one,waited another minutes still one,5
3923,268641:11,"I then went to the front desk where a gentleman gave me, the guest, directions to housekeeping so that I could inquire on my behalf because he was too busy on the phone.",0.0,then went to the front desk where gentleman gave me the guest directions to housekeeping so that could inquire on my behalf because he was too busy on the phone,160,then went to the front desk where gentleman gave me the guest directions to housekeeping so that could inquire on my behalf because he was too busy on the phone,went front desk gentleman gave guest directions housekeeping could inquire behalf busy phone,13
3924,268641:11,He should have been the one to resolve the matter.,0.0,he should have been the one to resolve the matter,49,he should have been the one to resolve the matter,one resolve matter,3
3925,268641:11,"She left a roll of gabage bags on the bathroom sink, I guess that was for me to do.Overall, I did not care for the service that I recieved.",0.0,she left roll of gabage bags on the bathroom sink guess that was for me to do.overall did not care for the service that recieved,128,she left roll of gabage bags on the bathroom sink guess that was for me to dooverall did not care for the service that recieved,left roll gabage bags bathroom sink guess dooverall care service recieved,11
3926,268641:11,"The room had an odor , its a good thing I brought the febreeze,, and next time I think Ill spend the extra money and get something decent because this hotel was far from it.",0.0,the room had an odor its good thing brought the febreeze and next time think ill spend the extra money and get something decent because this hotel was far from it,162,the room had an odor its good thing brought the febreeze and next time think ill spend the extra money and get something decent because this hotel was far from it,room odor good thing brought febreeze next time think ill spend extra money get something decent hotel far,18
3927,233863:6,Great hotel Hotel was conveniently located steps from a subway station and key bus routes.,0.0,great hotel hotel was conveniently located steps from subway station and key bus routes,87,great hotel hotel was conveniently located steps from subway station and key bus routes,great hotel hotel conveniently located steps subway station key bus routes,11
3928,233863:6,Desk staff was friendly and very helpful at booking tours and providing directions.,0.0,desk staff was friendly and very helpful at booking tours and providing directions,82,desk staff was friendly and very helpful at booking tours and providing directions,desk staff friendly helpful booking tours providing directions,8
3929,233863:6,"Only downside was lack of air conditioning in rooms, but in May, it was fine and could open windows to let cool air in when it got warm.",0.0,only downside was lack of air conditioning in rooms but in may it was fine and could open windows to let cool air in when it got warm,133,only downside was lack of air conditioning in rooms but in may it was fine and could open windows to let cool air in when it got warm,downside lack air conditioning rooms may fine could open windows let cool air got warm,15
3930,233863:6,Breakfast had a lot of variety and was very good Would definitely stay there again,0.0,breakfast had lot of variety and was very good would definitely stay there again,80,breakfast had lot of variety and was very good would definitely stay there again,breakfast lot variety good would definitely stay,7
3931,281838:8,For euro hotels the room was spacious and kept to a high standard.,0.0,for euro hotels the room was spacious and kept to high standard,63,for euro hotels the room was spacious and kept to high standard,euro hotels room spacious kept high standard,7
3932,281838:8,Only minor point was that they are strict about no ironing in the room and no in room tea/coffee in normal double rooms.,0.0,only minor point was that they are strict about no ironing in the room and no in room tea/coffee in normal double rooms,119,only minor point was that they are strict about no ironing in the room and no in room teacoffee in normal double rooms,minor point strict ironing room room teacoffee normal double rooms,10
3933,281838:8,"However if you are travelling with a laptop they provide free internet in the rooms ,decent speed ~2mbps, ask at reception for pass code.",1.0,however if you are travelling with laptop they provide free internet in the rooms decent speed ask at reception for pass code,125,however if you are travelling with laptop they provide free internet in the rooms decent speed ask at reception for pass code,however travelling laptop provide free internet rooms decent speed ask reception pass code,13
3934,281838:8,"Its less than a 5min walk from the station, so is a perfect base for visiting florence and surrounding towns/cities.",0.0,its less than walk from the station so is perfect base for visiting florence and surrounding towns/cities,105,its less than walk from the station so is perfect base for visiting florence and surrounding townscities,less walk station perfect base visiting florence surrounding townscities,9
3935,281838:8,The italian train system is cheap and v.reliable.,0.0,the italian train system is cheap and v.reliable,48,the italian train system is cheap and vreliable,italian train system cheap vreliable,5
3936,281838:8,"While there we visitied places like Pisa ,1hr, and Viareggio ,beaches 1hr 20mins, by train.",0.0,while there we visitied places like pisa and viareggio beaches by train,71,while there we visitied places like pisa and viareggio beaches by train,visitied places like pisa viareggio beaches train,7
3937,281838:8,Also the staff are very friendly and it is based near a variety of restaurants/bars and clubs.,0.0,also the staff are very friendly and it is based near variety of restaurants/bars and clubs,91,also the staff are very friendly and it is based near variety of restaurantsbars and clubs,also staff friendly based near variety restaurantsbars clubs,8
3938,111418:22,"Great location, rooms questionable",0.0,great location rooms questionable,33,great location rooms questionable,great location rooms questionable,4
3939,111418:22,My husband and I stayed here during a conference last week and it was alright.,0.0,my husband and stayed here during conference last week and it was alright,73,my husband and stayed here during conference last week and it was alright,husband stayed conference last week alright,6
3940,111418:22,The concierge was very informative and the front staff very polite.,0.0,the concierge was very informative and the front staff very polite,66,the concierge was very informative and the front staff very polite,concierge informative front staff polite,5
3941,111418:22,The room cleaning was questionable though as they did not remove empty water bottles the whole time we stayed.,0.0,the room cleaning was questionable though as they did not remove empty water bottles the whole time we stayed,109,the room cleaning was questionable though as they did not remove empty water bottles the whole time we stayed,room cleaning questionable though remove empty water bottles whole time stayed,11
3942,111418:22,"They also only dumped the garbage, they did not replace the lining.",0.0,they also only dumped the garbage they did not replace the lining,65,they also only dumped the garbage they did not replace the lining,also dumped garbage replace lining,5
3943,111418:22,I think that towels were just refolded and replaced instead of giving new towels.,0.0,think that towels were just refolded and replaced instead of giving new towels,78,think that towels were just refolded and replaced instead of giving new towels,think towels refolded replaced instead giving new towels,8
3944,111418:22,The showers were actually very small although there was excellent pressure from the showerhead.,0.0,the showers were actually very small although there was excellent pressure from the showerhead,94,the showers were actually very small although there was excellent pressure from the showerhead,showers actually small although excellent pressure showerhead,7
3945,111418:22,"We didnt dine at the hotel, although we heard firsthand that there was one restaurant that was very slow in service ,main course took 2 hours,.",0.0,we didnt dine at the hotel although we heard firsthand that there was one restaurant that was very slow in service main course took hours,137,we didnt dine at the hotel although we heard firsthand that there was one restaurant that was very slow in service main course took hours,didnt dine hotel although heard firsthand one restaurant slow service main course took hours,14
3946,111418:22,"The location of this hotel was good, the subway station was not too far away.",0.0,the location of this hotel was good the subway station was not too far away,75,the location of this hotel was good the subway station was not too far away,location hotel good subway station far away,7
3947,111418:22,"If I had to go to Boston again, I may look elsewhere to stay.",0.0,if had to go to boston again may look elsewhere to stay,55,if had to go to boston again may look elsewhere to stay,go boston may look elsewhere stay,6
3948,112328:43,Stayed here for a night with some friends for a wedding.,0.0,stayed here for night with some friends for wedding,51,stayed here for night with some friends for wedding,stayed night friends wedding,4
3949,112328:43,The hotel staff was rude and acted like a bunch of premadonas.,0.0,the hotel staff was rude and acted like bunch of premadonas,59,the hotel staff was rude and acted like bunch of premadonas,hotel staff rude acted like bunch premadonas,7
3950,112328:43,Everyone assoctated with this place thought their you know what didnt stink.,0.0,everyone assoctated with this place thought their you know what didnt stink,75,everyone assoctated with this place thought their you know what didnt stink,everyone assoctated place thought know didnt stink,7
3951,112328:43,I would highly reccommend a hotel called The Phoenix over this place.,1.0,would highly reccommend hotel called the phoenix over this place,64,would highly reccommend hotel called the phoenix over this place,would highly reccommend hotel called phoenix place,7
3952,112328:43,At least there you can get good service and a more confortable experience.,0.0,at least there you can get good service and more confortable experience,71,at least there you can get good service and more confortable experience,least get good service confortable experience,6
3953,112328:43,Unless you are into travel nightmares.,0.0,unless you are into travel nightmares,37,unless you are into travel nightmares,unless travel nightmares,3
3954,84455:47,"We arrived in our car after a long journey from Las Vegas, and we were very tired.",0.0,we arrived in our car after long journey from las vegas and we were very tired,78,we arrived in our car after long journey from las vegas and we were very tired,arrived car long journey las vegas tired,7
3955,84455:47,"After we arrived, the bell men took our luggage into the hotel, and our car was parked for us.",0.0,after we arrived the bell men took our luggage into the hotel and our car was parked for us,91,after we arrived the bell men took our luggage into the hotel and our car was parked for us,arrived bell men took luggage hotel car parked us,9
3956,84455:47,We had requested connecting rooms when we booked and there were no problems at all with this.,0.0,we had requested connecting rooms when we booked and there were no problems at all with this,92,we had requested connecting rooms when we booked and there were no problems at all with this,requested connecting rooms booked problems,5
3957,84455:47,We have stayed in numerous hotels before and more than half did not give us connecting rooms.,0.0,we have stayed in numerous hotels before and more than half did not give us connecting rooms,92,we have stayed in numerous hotels before and more than half did not give us connecting rooms,stayed numerous hotels half give us connecting rooms,8
3958,84455:47,We went up to the rooms.,0.0,we went up to the rooms,23,we went up to the rooms,went rooms,2
3959,84455:47,"The rooms were slightly outdated, with stripy coloured wall-paper, and country style curtains.",0.0,the rooms were slightly outdated with stripy coloured wall-paper and country style curtains,91,the rooms were slightly outdated with stripy coloured wallpaper and country style curtains,rooms slightly outdated stripy coloured wallpaper country style curtains,9
3960,84455:47,"Yet, the rooms had a balcony, plus the bed was a tempur one.",0.0,yet the rooms had balcony plus the bed was tempur one,53,yet the rooms had balcony plus the bed was tempur one,yet rooms balcony plus bed tempur one,7
3961,84455:47,"Since we were tired, we ordered rooms service.",0.0,since we were tired we ordered rooms service,44,since we were tired we ordered rooms service,since tired ordered rooms service,5
3962,84455:47,"The menu was pretty good with a choice of steaks, pizzas, pastas and salads.",0.0,the menu was pretty good with choice of steaks pizzas pastas and salads,71,the menu was pretty good with choice of steaks pizzas pastas and salads,menu pretty good choice steaks pizzas pastas salads,8
3963,84455:47,The meal arrived in about 35 minutes and was v.good.,0.0,the meal arrived in about minutes and was v.good,48,the meal arrived in about minutes and was vgood,meal arrived minutes vgood,4
3964,84455:47,"The hotel is located about 15-20 minutes from central Hollywood, and is right in the center of Beverly Hills, on Beverwil Drive.",0.0,the hotel is located about minutes from central hollywood and is right in the center of beverly hills on beverwil drive,119,the hotel is located about minutes from central hollywood and is right in the center of beverly hills on beverwil drive,hotel located minutes central hollywood right center beverly hills beverwil drive,11
3965,84455:47,"Staff were friendly, and service was excellent.",0.0,staff were friendly and service was excellent,45,staff were friendly and service was excellent,staff friendly service excellent,4
3966,84455:47,"Breakfast wasnt to good, and the rooms could do with some updating.",0.0,breakfast wasnt to good and the rooms could do with some updating,65,breakfast wasnt to good and the rooms could do with some updating,breakfast wasnt good rooms could updating,6
3967,84455:47,"Overall, it was a really good hotel.",0.0,overall it was really good hotel,32,overall it was really good hotel,overall really good hotel,4
3968,581477:47,Great place to stay,0.0,great place to stay,19,great place to stay,great place stay,3
3969,581477:47,I was very happy with our stay here.,0.0,was very happy with our stay here,33,was very happy with our stay here,happy stay,2
3970,581477:47,"Even with the weak dollar, I thought it was a great value.",0.0,even with the weak dollar thought it was great value,52,even with the weak dollar thought it was great value,even weak dollar thought great value,6
3971,233880:19,Brilliant Berlin base,0.0,brilliant berlin base,21,brilliant berlin base,brilliant berlin base,3
3972,233880:19,We stayed 4 nights here on a first visit to Berlin.,0.0,we stayed nights here on first visit to berlin,46,we stayed nights here on first visit to berlin,stayed nights first visit berlin,5
3973,233880:19,"We had a family suite for 3 adults - it was huge, comfortable and clean.",0.0,we had family suite for adults it was huge comfortable and clean,64,we had family suite for adults it was huge comfortable and clean,family suite adults huge comfortable clean,6
3974,233880:19,Its in a good position to see the sites of old East Berlin and close to public transport to go further afield.,0.0,its in good position to see the sites of old east berlin and close to public transport to go further afield,107,its in good position to see the sites of old east berlin and close to public transport to go further afield,good position see sites old east berlin close public transport go afield,12
3975,233880:19,The only meal is breakfast and we tended to go out for that - cheaper,0.0,the only meal is breakfast and we tended to go out for that cheaper,67,the only meal is breakfast and we tended to go out for that cheaper,meal breakfast tended go cheaper,5
3976,233880:19,There are good coffee bars and restaurants nearby.,0.0,there are good coffee bars and restaurants nearby,49,there are good coffee bars and restaurants nearby,good coffee bars restaurants nearby,5
3977,233880:19,There is a small bar and the staff are very friendly and helpful.,0.0,there is small bar and the staff are very friendly and helpful,62,there is small bar and the staff are very friendly and helpful,small bar staff friendly helpful,5
3978,301657:245,Nice upper end place,0.0,nice upper end place,20,nice upper end place,nice upper end place,4
3979,301657:245,"Very nice hotel, but rooms are small and area is newer live/work type.",0.0,very nice hotel but rooms are small and area is newer live/work type,68,very nice hotel but rooms are small and area is newer livework type,nice hotel rooms small area newer livework type,8
3980,301657:245,Be sure to get the larger room and have breakfast included as it is $25 if you pay.,1.0,be sure to get the larger room and have breakfast included as it is if you pay,78,be sure to get the larger room and have breakfast included as it is if you pay,sure get larger room breakfast included pay,7
3981,301657:245,"Nice food due to the French Chef on staff, but pricey.",0.0,nice food due to the french chef on staff but pricey,52,nice food due to the french chef on staff but pricey,nice food due french chef staff pricey,7
3982,301657:245,"Doesnt feel like Japan hotel, more like a contemporary Hilton.",0.0,doesnt feel like japan hotel more like contemporary hilton,58,doesnt feel like japan hotel more like contemporary hilton,doesnt feel like japan hotel like contemporary hilton,8
3983,301657:245,"If you want to feel the city vibes and eat close by at more authentic restaurants, dont stay here.",1.0,if you want to feel the city vibes and eat close by at more authentic restaurants dont stay here,96,if you want to feel the city vibes and eat close by at more authentic restaurants dont stay here,want feel city vibes eat close authentic restaurants dont stay,10
3984,301657:245,"If you want out of the hustle more modern surroundings, this is your place.",1.0,if you want out of the hustle more modern surroundings this is your place,73,if you want out of the hustle more modern surroundings this is your place,want hustle modern surroundings place,5
3985,277997:226,Nothing Exciting Stayed here for one night before moving over to The Phoenician.,0.0,nothing exciting stayed here for one night before moving over to the phoenician,79,nothing exciting stayed here for one night before moving over to the phoenician,nothing exciting stayed one night moving phoenician,7
3986,277997:226,"While not bad, it certainly lacks many of the finer qualities of the areas better establishments ,Four Seasons, Phoenician, Fairmont Scottsdale Princess,.",0.0,while not bad it certainly lacks many of the finer qualities of the areas better establishments four seasons phoenician fairmont scottsdale princess,148,while not bad it certainly lacks many of the finer qualities of the areas better establishments four seasons phoenician fairmont scottsdale princess,bad certainly lacks many finer qualities areas better establishments four seasons phoenician fairmont scottsdale princess,15
3987,277997:226,Located in a so so area of North Phoenix.,0.0,located in so so area of north phoenix,38,located in so so area of north phoenix,located area north phoenix,4
3988,277997:226,The room itself had a popcorn ceiling and poorly textured walls.,0.0,the room itself had popcorn ceiling and poorly textured walls,61,the room itself had popcorn ceiling and poorly textured walls,room popcorn ceiling poorly textured walls,6
3989,277997:226,It struck me that if 6 Motel ever decided they wanted to go resort style this would be the place that they would open up.,0.0,it struck me that if motel ever decided they wanted to go resort style this would be the place that they would open up,118,it struck me that if motel ever decided they wanted to go resort style this would be the place that they would open up,struck motel ever decided wanted go resort style would place would open,12
3990,277997:226,"The comforter and bedding, as well as the entire interior, were all standard Hilton - nothing to connote the southwest ,the comforter was a loudy itchy green floral print,.",0.0,the comforter and bedding as well as the entire interior were all standard hilton nothing to connote the southwest the comforter was loudy itchy green floral print,163,the comforter and bedding as well as the entire interior were all standard hilton nothing to connote the southwest the comforter was loudy itchy green floral print,comforter bedding well entire interior standard hilton nothing connote southwest comforter loudy itchy green floral print,16
3991,277997:226,"The wash basin was also located in the bedroom ,not in the bathroom, which struck me as odd and does not help matters when one person is an earlier riser than another.",0.0,the wash basin was also located in the bedroom not in the bathroom which struck me as odd and does not help matters when one person is an earlier riser than another,164,the wash basin was also located in the bedroom not in the bathroom which struck me as odd and does not help matters when one person is an earlier riser than another,wash basin also located bedroom bathroom struck odd help matters one person earlier riser another,15
3992,277997:226,My wife and I were given a view which overlooked a parking lot and other peoples balconies.,0.0,my wife and were given view which overlooked parking lot and other peoples balconies,84,my wife and were given view which overlooked parking lot and other peoples balconies,wife given view overlooked parking lot peoples balconies,8
3993,277997:226,"Its a good 20 minute drive to the center of Scottsdale ,if youre looking to dine at one of the many fine dining spots in the Scottsdale area.",1.0,its good minute drive to the center of scottsdale if youre looking to dine at one of the many fine dining spots in the scottsdale area,134,its good minute drive to the center of scottsdale if youre looking to dine at one of the many fine dining spots in the scottsdale area,good minute drive center scottsdale youre looking dine one many fine dining spots scottsdale area,15
3994,277997:226,"While not bad for families looking to save a little, it is not the luxurious resort for which it bills itself.",0.0,while not bad for families looking to save little it is not the luxurious resort for which it bills itself,106,while not bad for families looking to save little it is not the luxurious resort for which it bills itself,bad families looking save little luxurious resort bills,8
3995,277997:226,"And it is far, very far, from being even one of the top 5-6 resorts in the area.",0.0,and it is far very far from being even one of the top resorts in the area,73,and it is far very far from being even one of the top resorts in the area,far far even one top resorts area,7
3996,150841:372,The weather was really tropical and sunny.,0.0,the weather was really tropical and sunny,41,the weather was really tropical and sunny,weather really tropical sunny,4
3997,150841:372,It was in the mid-80s during the day and the 70s at night.,0.0,it was in the during the day and the at night,45,it was in the during the day and the at night,day night,2
3998,150841:372,Perfect-especially considering it was 8 at home in Michigan.,0.0,perfect-especially considering it was at home in michigan,57,perfectespecially considering it was at home in michigan,perfectespecially considering home michigan,4
3999,150841:372,The best resort experience we have ever had.What we really liked...1.,0.0,the best resort experience we have ever had.what we really,58,the best resort experience we have ever hadwhat we really,best resort experience ever hadwhat really,6
4000,150841:372,The suites were neat and well maintained.,0.0,the suites were neat and well maintained,40,the suites were neat and well maintained,suites neat well maintained,4
4001,150841:372,We read about a musty smell in the rooms.,0.0,we read about musty smell in the rooms,38,we read about musty smell in the rooms,read musty smell rooms,4
4002,150841:372,We were able to eliminate this by opening the patio doors for a couple of hours each day and by keeping the lid closed on the toilet.,0.0,we were able to eliminate this by opening the patio doors for couple of hours each day and by keeping the lid closed on the toilet,130,we were able to eliminate this by opening the patio doors for couple of hours each day and by keeping the lid closed on the toilet,able eliminate opening patio doors couple hours day keeping lid closed toilet,12
4003,150841:372,The grounds were beatiful and at night the ground lighting created a romantic effect in the landscaping.,0.0,the grounds were beatiful and at night the ground lighting created romantic effect in the landscaping,101,the grounds were beatiful and at night the ground lighting created romantic effect in the landscaping,grounds beatiful night ground lighting created romantic effect landscaping,9
4004,150841:372,It was quiet and peaceful almost all of the time.,0.0,it was quiet and peaceful almost all of the time,48,it was quiet and peaceful almost all of the time,quiet peaceful almost time,4
4005,150841:372,Not many loud drinking parties.,0.0,not many loud drinking parties,30,not many loud drinking parties,many loud drinking parties,4
4006,150841:372,The staff was friendly and energetic.,0.0,the staff was friendly and energetic,36,the staff was friendly and energetic,staff friendly energetic,3
4007,150841:372,They performed task with a positive attitude.,0.0,they performed task with positive attitude,42,they performed task with positive attitude,performed task positive attitude,4
4008,150841:372,We often observed them singing to the background music.,0.0,we often observed them singing to the background music,54,we often observed them singing to the background music,often observed singing background music,5
4009,150841:372,They were not intrusive or or patronizing.,0.0,they were not intrusive or or patronizing,41,they were not intrusive or or patronizing,intrusive patronizing,2
4010,150841:372,They carried themselves with dignity and were appreciative of tips-while not acting as though they expected to be tipped.,0.0,they carried themselves with dignity and were appreciative of tips-while not acting as though they expected to be tipped,120,they carried themselves with dignity and were appreciative of tipswhile not acting as though they expected to be tipped,carried dignity appreciative tipswhile acting though expected tipped,8
4011,150841:372,The beach had numerous palm thatched cabanas.,0.0,the beach had numerous palm thatched cabanas,44,the beach had numerous palm thatched cabanas,beach numerous palm thatched cabanas,5
4012,150841:372,We able to reserve one every day.,0.0,we able to reserve one every day,32,we able to reserve one every day,able reserve one every day,5
4013,150841:372,We spent most of the day on the beach.,0.0,we spent most of the day on the beach,37,we spent most of the day on the beach,spent day beach,3
4014,150841:372,You could be in the sun or in the shade.,0.0,you could be in the sun or in the shade,39,you could be in the sun or in the shade,could sun shade,3
4015,150841:372,The water was a tropical blue with darker shading over the coral reefs.,0.0,the water was tropical blue with darker shading over the coral reefs,68,the water was tropical blue with darker shading over the coral reefs,water tropical blue darker shading coral reefs,7
4016,150841:372,There was constant activity on the beach and just off shore.,0.0,there was constant activity on the beach and just off shore,59,there was constant activity on the beach and just off shore,constant activity beach shore,4
4017,150841:372,People constantly walked the beach-about 10% of the women are topless.,0.0,people constantly walked the beach-about of the women are topless,65,people constantly walked the beachabout of the women are topless,people constantly walked beachabout women topless,6
4018,150841:372,"There are power boats, sail boats para sails up and down the beach.",0.0,there are power boats sail boats para sails up and down the beach,65,there are power boats sail boats para sails up and down the beach,power boats sail boats para sails beach,7
4019,150841:372,The snorkeling in front of the Bavaro was very good and snorkel equipment was free for one hour each day.,0.0,the snorkeling in front of the bavaro was very good and snorkel equipment was free for one hour each day,104,the snorkeling in front of the bavaro was very good and snorkel equipment was free for one hour each day,snorkeling front bavaro good snorkel equipment free one hour day,10
4020,150841:372,"Yellow tail snapper, some a foot long, and barracuda, sargeant fish, and tripletail were within 200 feet of the beach.",0.0,yellow tail snapper some foot long and barracuda sargeant fish and tripletail were within feet of the beach,107,yellow tail snapper some foot long and barracuda sargeant fish and tripletail were within feet of the beach,yellow tail snapper foot long barracuda sargeant fish tripletail within feet beach,12
4021,150841:372,We are in our 50s and enjoyed the contact with the families with young children.,0.0,we are in our and enjoyed the contact with the families with young children,75,we are in our and enjoyed the contact with the families with young children,enjoyed contact families young children,5
4022,150841:372,The parents and the children were well mannered.,0.0,the parents and the children were well mannered,47,the parents and the children were well mannered,parents children well mannered,4
4023,150841:372,The staff does a nice job entertaining the children.,0.0,the staff does nice job entertaining the children,49,the staff does nice job entertaining the children,staff nice job entertaining children,5
4024,150841:372,Every night the kids were involved in putting on little shows.,0.0,every night the kids were involved in putting on little shows,61,every night the kids were involved in putting on little shows,every night kids involved putting little shows,7
4025,150841:372,The food was generally of good quality-but not necessarily geared to American tastes.,0.0,the food was generally of good quality-but not necessarily geared to american tastes,84,the food was generally of good qualitybut not necessarily geared to american tastes,food generally good qualitybut necessarily geared american tastes,8
4026,150841:372,You had to pick and chose.,0.0,you had to pick and chose,25,you had to pick and chose,pick chose,2
4027,150841:372,"We liked the grilled foods the best- chicken, lobster, steak and the chips and salsa.",0.0,we liked the grilled foods the best chicken lobster steak and the chips and salsa,81,we liked the grilled foods the best chicken lobster steak and the chips and salsa,liked grilled foods best chicken lobster steak chips salsa,9
4028,150841:372,"On Wednesday night, they serve lobster at the buffet.",0.0,on wednesday night they serve lobster at the buffet,51,on wednesday night they serve lobster at the buffet,wednesday night serve lobster buffet,5
4029,150841:372,Choose to go to the specialty resturants on other nights.,1.0,choose to go to the specialty resturants on other nights,56,choose to go to the specialty resturants on other nights,choose go specialty resturants nights,5
4030,150841:372,We liked the Japenese and the Steakhouse the best.,0.0,we liked the japenese and the steakhouse the best,49,we liked the japenese and the steakhouse the best,liked japenese steakhouse best,4
4031,150841:372,"Most of the drinks were rum drinks, but you could get other types of drinks on request.",0.0,most of the drinks were rum drinks but you could get other types of drinks on request,85,most of the drinks were rum drinks but you could get other types of drinks on request,drinks rum drinks could get types drinks request,8
4032,217386:77,Not professional management,0.0,not professional management,27,not professional management,professional management,2
4033,217386:77,I stayed at the RIU the last time I visited Miami.,0.0,stayed at the riu the last time visited miami,45,stayed at the riu the last time visited miami,stayed riu last time visited miami,6
4034,217386:77,"While there, a hurricane came through.",0.0,while there hurricane came through,34,while there hurricane came through,hurricane came,2
4035,217386:77,"Because of the large amounts of water, my room flooded, as did many others.",0.0,because of the large amounts of water my room flooded as did many others,72,because of the large amounts of water my room flooded as did many others,large amounts water room flooded many others,7
4036,217386:77,My room was on the top floor and the ceiling leaked badly.,0.0,my room was on the top floor and the ceiling leaked badly,57,my room was on the top floor and the ceiling leaked badly,room top floor ceiling leaked badly,6
4037,217386:77,The hotel was sold out and I could not move to another room.,0.0,the hotel was sold out and could not move to another room,57,the hotel was sold out and could not move to another room,hotel sold could move another room,6
4038,217386:77,"They did have one room available, but it was leaking as well.I spoke to the manager, Joanna Turmo, about my room.",0.0,they did have one room available but it was leaking as well.i spoke to the manager joanna turmo about my room,109,they did have one room available but it was leaking as welli spoke to the manager joanna turmo about my room,one room available leaking welli spoke manager joanna turmo room,10
4039,217386:77,"She offered to, take care of my parking during my stay.",0.0,she offered to take care of my parking during my stay,53,she offered to take care of my parking during my stay,offered take care parking stay,5
4040,217386:77,"However, what makes me angry is that when I try to contact the manager, Joanna Turmo, she will not take my calls, or return my calls.",0.0,however what makes me angry is that when try to contact the manager joanna turmo she will not take my calls or return my calls,126,however what makes me angry is that when try to contact the manager joanna turmo she will not take my calls or return my calls,however makes angry try contact manager joanna turmo take calls return calls,12
4041,217386:77,"As I said earlier, she offered to, take care of me, the next time I visited Miami.",0.0,as said earlier she offered to take care of me the next time visited miami,74,as said earlier she offered to take care of me the next time visited miami,said earlier offered take care next time visited miami,9
4042,217386:77,"So, if you ever have a bad experience at this hotel and they promise you something, you better get it in writing because Joanna Turmo will not come to the phone.",1.0,so if you ever have bad experience at this hotel and they promise you something you better get it in writing because joanna turmo will not come to the phone,156,so if you ever have bad experience at this hotel and they promise you something you better get it in writing because joanna turmo will not come to the phone,ever bad experience hotel promise something better get writing joanna turmo come phone,13
4043,580687:3,Not worth the reputation,0.0,not worth the reputation,24,not worth the reputation,worth reputation,2
4044,580687:3,The staff said I need to pay at least 5000 yens to change to another deluxe room for better view.,0.0,the staff said need to pay at least yens to change to another deluxe room for better view,89,the staff said need to pay at least yens to change to another deluxe room for better view,staff said need pay least yens change another deluxe room better view,12
4045,580687:3,There is a lot of high tech inside the room but some is just too high tech and not useful and even dangerous.,0.0,there is lot of high tech inside the room but some is just too high tech and not useful and even dangerous,106,there is lot of high tech inside the room but some is just too high tech and not useful and even dangerous,lot high tech inside room high tech useful even dangerous,10
4046,580687:3,"They used Lavazza coffee cooker to provide the hot water, which is very dangerous.",0.0,they used lavazza coffee cooker to provide the hot water which is very dangerous,80,they used lavazza coffee cooker to provide the hot water which is very dangerous,used lavazza coffee cooker provide hot water dangerous,8
4047,580687:3,"I know how to Assembly a computer and write web page , but I dont know how to get hot water safely.",0.0,know how to assembly computer and write web page but dont know how to get hot water safely,90,know how to assembly computer and write web page but dont know how to get hot water safely,know assembly computer write web page dont know get hot water safely,12
4048,580687:3,I cannot stop the hot water coming out from the machine.,0.0,cannot stop the hot water coming out from the machine,53,cannot stop the hot water coming out from the machine,cannot stop hot water coming machine,6
4049,580687:3,There is no fruit complementary despite some website say it is provided.,0.0,there is no fruit complementary despite some website say it is provided,71,there is no fruit complementary despite some website say it is provided,fruit complementary despite website say provided,6
4050,580687:3,If you have been living in Hong kong peninsula you know it is totally different thing.,0.0,if you have been living in hong kong peninsula you know it is totally different thing,85,if you have been living in hong kong peninsula you know it is totally different thing,living hong kong peninsula know totally different thing,8
